time,open,high,low,close
1717100100,1.08296,1.08299,1.08288,1.08296
1717100400,1.08296,1.08301,1.0829199999999999,1.08301
1717100700,1.08301,1.08312,1.083,1.0831
1717101000,1.0831,1.08313,1.08305,1.0831
1717101300,1.0831,1.08311,1.08304,1.08306
1717101600,1.08306,1.08311,1.08305,1.0830899999999999
1717101900,1.0830899999999999,1.08321,1.0830899999999999,1.08318
1717102200,1.08318,1.08327,1.08317,1.08323
1717102500,1.08323,1.08326,1.08317,1.08319
1717102800,1.08319,1.08319,1.08263,1.0828
1717103100,1.0828,1.0831,1.08277,1.08279
1717103400,1.08279,1.08334,1.08273,1.08327
1717103700,1.08327,1.08332,1.08295,1.08315
1717104000,1.08315,1.08315,1.08307,1.08313
1717104300,1.08313,1.08317,1.08299,1.0830899999999999
1717104600,1.0830899999999999,1.08325,1.08306,1.08319
1717104900,1.08319,1.08325,1.08311,1.08321
1717105200,1.08321,1.08327,1.08317,1.08324
1717105500,1.08324,1.08333,1.08323,1.08329
1717105800,1.08329,1.08344,1.08322,1.08327
1717106100,1.08327,1.08332,1.08319,1.08327
1717106400,1.08327,1.08334,1.08319,1.08333
1717106700,1.08333,1.08335,1.08329,1.08334
1717107000,1.08334,1.08337,1.08333,1.0833599999999999
1717107300,1.0833599999999999,1.08337,1.08325,1.08329
1717107600,1.08329,1.0833599999999999,1.08328,1.0833599999999999
1717107900,1.0833599999999999,1.08337,1.08334,1.0833599999999999
1717108200,1.0833599999999999,1.0833599999999999,1.0833,1.08331
1717108500,1.08331,1.08335,1.08329,1.08335
1717108800,1.08335,1.0834,1.08334,1.0833599999999999
1717109100,1.0833599999999999,1.0834,1.08334,1.08335
1717109400,1.08335,1.0833599999999999,1.08334,1.0833599999999999
1717109700,1.0833599999999999,1.08339,1.08333,1.08334
1717110000,1.08334,1.08334,1.08327,1.08329
1717110300,1.08329,1.08334,1.08322,1.08322
1717110600,1.08322,1.08326,1.08322,1.08324
1717110900,1.08324,1.08325,1.08322,1.08323
1717111200,1.08323,1.08325,1.08317,1.0832
1717111500,1.0832,1.08321,1.0832,1.08321
1717111800,1.08321,1.08325,1.08319,1.08319
1717112100,1.08319,1.0832,1.08311,1.08311
1717112400,1.08311,1.0832,1.08311,1.0832
1717112700,1.0832,1.08322,1.08313,1.08314
1717113000,1.08314,1.08326,1.08313,1.08325
1717113300,1.08325,1.08325,1.0830899999999999,1.08314
1717113600,1.08314,1.08324,1.08305,1.08313
1717113900,1.08313,1.08324,1.08308,1.08321
1717114200,1.08321,1.08335,1.08317,1.08318
1717114500,1.08318,1.08319,1.0829199999999999,1.08304
1717114800,1.08304,1.08312,1.08293,1.08298
1717115100,1.08298,1.08316,1.08296,1.08305
1717115400,1.08305,1.08329,1.08304,1.08323
1717115700,1.08323,1.08326,1.08306,1.0830899999999999
1717116000,1.0830899999999999,1.08322,1.08307,1.08319
1717116300,1.08319,1.08328,1.08304,1.08305
1717116600,1.08305,1.08325,1.08303,1.08316
1717116900,1.08316,1.08325,1.08308,1.0832
1717117200,1.0832,1.08326,1.08308,1.08324
1717117500,1.08324,1.08334,1.08308,1.08313
1717117800,1.08313,1.0832,1.08301,1.08304
1717118100,1.08304,1.08304,1.08273,1.0828
1717118400,1.0828,1.08307,1.08277,1.08302
1717118700,1.08302,1.0831,1.08299,1.08299
1717119000,1.08299,1.08301,1.08266,1.0828
1717119300,1.0828,1.08287,1.08277,1.08279
1717119600,1.08279,1.0828,1.08249,1.08253
1717119900,1.08253,1.08253,1.08221,1.08224
1717120200,1.08224,1.08226,1.08208,1.08213
1717120500,1.08213,1.08216,1.08201,1.08202
1717120800,1.08202,1.08223,1.08197,1.08218
1717121100,1.08218,1.08225,1.08217,1.08218
1717121400,1.08218,1.08219,1.08199,1.082
1717121700,1.082,1.08215,1.082,1.08208
1717122000,1.08208,1.08208,1.08196,1.082
1717122300,1.082,1.08201,1.08191,1.08194
1717122600,1.08194,1.08196,1.08177,1.08185
1717122900,1.08185,1.08185,1.08163,1.08163
1717123200,1.08163,1.08169,1.08148,1.08149
1717123500,1.08149,1.08152,1.08127,1.08151
1717123800,1.08151,1.08168,1.08145,1.08145
1717124100,1.08145,1.08145,1.08113,1.08114
1717124400,1.08114,1.08133,1.08112,1.08122
1717124700,1.08122,1.08143,1.08115,1.0814
1717125000,1.0814,1.08151,1.08129,1.08142
1717125300,1.08142,1.08148,1.08135,1.08146
1717125600,1.08146,1.08169,1.08144,1.08165
1717125900,1.08165,1.08182,1.0816,1.0818
1717126200,1.0818,1.08186,1.0816999999999999,1.08186
1717126500,1.08186,1.08186,1.0818,1.08185
1717126800,1.08185,1.08186,1.08174,1.08175
1717127100,1.08175,1.08193,1.08173,1.08185
1717127400,1.08185,1.08199,1.08184,1.08196
1717127700,1.08196,1.08198,1.08189,1.08192
1717128000,1.08192,1.08194,1.08188,1.08188
1717128300,1.08188,1.08188,1.08172,1.08173
1717128600,1.08173,1.0818,1.08166,1.08168
1717128900,1.08168,1.08179,1.08164,1.08167
